date	latitude	longitude	tcc
20230101	32.42	72.17	0.28265077
20230101	32.42	72.42	0.28817445
20230101	32.42	72.67	0.2879246
20230101	32.17	72.17	0.2661541
20230101	32.17	72.42	0.27656347
20230101	32.17	72.67	0.30366784
20230101	31.92	72.17	0.26376134
20230101	31.92	72.42	0.28536683
20230101	31.92	72.67	0.3126467
20230201	32.42	72.17	0.35710722
20230201	32.42	72.42	0.36175543
20230201	32.42	72.67	0.36621004
20230201	32.17	72.17	0.3284579
20230201	32.17	72.42	0.33396727
20230201	32.17	72.67	0.3408776
20230201	31.92	72.17	0.31206137
20230201	31.92	72.42	0.31791598
20230201	31.92	72.67	0.32487875
20230301	32.42	72.17	0.5538465
20230301	32.42	72.42	0.5502378
20230301	32.42	72.67	0.54138577
20230301	32.17	72.17	0.5133573
20230301	32.17	72.42	0.5117971
20230301	32.17	72.67	0.5157472
20230301	31.92	72.17	0.48720372
20230301	31.92	72.42	0.49402058
20230301	31.92	72.67	0.4981767
20230401	32.42	72.17	0.4102921
20230401	32.42	72.42	0.40232223
20230401	32.42	72.67	0.39629978
20230401	32.17	72.17	0.38646835
20230401	32.17	72.42	0.37967056
20230401	32.17	72.67	0.37932724
20230401	31.92	72.17	0.3743338
20230401	31.92	72.42	0.3738436
20230401	31.92	72.67	0.37373298
20230501	32.42	72.17	0.42932814
20230501	32.42	72.42	0.4357702
20230501	32.42	72.67	0.4408123
20230501	32.17	72.17	0.40997142
20230501	32.17	72.42	0.41730326
20230501	32.17	72.67	0.42261142
20230501	31.92	72.17	0.3948452
20230501	31.92	72.42	0.40279692
20230501	31.92	72.67	0.40827197
20230601	32.42	72.17	0.19739288
20230601	32.42	72.42	0.18982452
20230601	32.42	72.67	0.18733925
20230601	32.17	72.17	0.17386955
20230601	32.17	72.42	0.16810554
20230601	32.17	72.67	0.17206424
20230601	31.92	72.17	0.16548389
20230601	31.92	72.42	0.16750664
20230601	31.92	72.67	0.17175049
20230701	32.42	72.17	0.3992675
20230701	32.42	72.42	0.38213664
20230701	32.42	72.67	0.37322265
20230701	32.17	72.17	0.37373096
20230701	32.17	72.42	0.36000472
20230701	32.17	72.67	0.36886436
20230701	31.92	72.17	0.36958152
20230701	31.92	72.42	0.3757804
20230701	31.92	72.67	0.38514358
20230801	32.42	72.17	0.23934019
20230801	32.42	72.42	0.21901643
20230801	32.42	72.67	0.2030319
20230801	32.17	72.17	0.1955055
20230801	32.17	72.42	0.18120706
20230801	32.17	72.67	0.19410646
20230801	31.92	72.17	0.18159997
20230801	31.92	72.42	0.18986452
20230801	31.92	72.67	0.20305955
20230901	32.42	72.17	0.13074511
20230901	32.42	72.42	0.122595966
20230901	32.42	72.67	0.12032527
20230901	32.17	72.17	0.09909457
20230901	32.17	72.42	0.09235495
20230901	32.17	72.67	0.099838436
20230901	31.92	72.17	0.08313006
20230901	31.92	72.42	0.08537692
20230901	31.92	72.67	0.093177974
20231001	32.42	72.17	0.14907199
20231001	32.42	72.42	0.15133744
20231001	32.42	72.67	0.1530326
20231001	32.17	72.17	0.13855821
20231001	32.17	72.42	0.14118749
20231001	32.17	72.67	0.14583641
20231001	31.92	72.17	0.13816649
20231001	31.92	72.42	0.14085966
20231001	31.92	72.67	0.14559132
20231101	32.42	72.17	0.33048362
20231101	32.42	72.42	0.32743067
20231101	32.42	72.67	0.322586
20231101	32.17	72.17	0.31954402
20231101	32.17	72.42	0.31789607
20231101	32.17	72.67	0.32410234
20231101	31.92	72.17	0.31549042
20231101	31.92	72.42	0.3196966
20231101	31.92	72.67	0.326132
20231201	32.42	72.17	0.1884768
20231201	32.42	72.42	0.19259286
20231201	32.42	72.67	0.19139886
20231201	32.17	72.17	0.20144582
20231201	32.17	72.42	0.20877385
20231201	32.17	72.67	0.22510743
20231201	31.92	72.17	0.21134973
20231201	31.92	72.42	0.22089124
20231201	31.92	72.67	0.23703313
20240101	32.42	72.17	0.30032593
20240101	32.42	72.42	0.32587296
20240101	32.42	72.67	0.33879334
20240101	32.17	72.17	0.3592592
20240101	32.17	72.42	0.38764817
20240101	32.17	72.67	0.41681534
20240101	31.92	72.17	0.40781647
20240101	31.92	72.42	0.43355042
20240101	31.92	72.67	0.46247727
20240201	32.42	72.17	0.31835258
20240201	32.42	72.42	0.3210038
20240201	32.42	72.67	0.3186692
20240201	32.17	72.17	0.29636467
20240201	32.17	72.42	0.2999133
20240201	32.17	72.67	0.30242527
20240201	31.92	72.17	0.28443992
20240201	31.92	72.42	0.2893647
20240201	31.92	72.67	0.29236305
20240301	32.42	72.17	0.45262617
20240301	32.42	72.42	0.44558138
20240301	32.42	72.67	0.43693537
20240301	32.17	72.17	0.41962904
20240301	32.17	72.42	0.41469187
20240301	32.17	72.67	0.41333193
20240301	31.92	72.17	0.4058904
20240301	31.92	72.42	0.40441698
20240301	31.92	72.67	0.40316385
20240401	32.42	72.17	0.4580596
20240401	32.42	72.42	0.4455226
20240401	32.42	72.67	0.4308322
20240401	32.17	72.17	0.41882735
20240401	32.17	72.42	0.40818053
20240401	32.17	72.67	0.40475875
20240401	31.92	72.17	0.3908885
20240401	31.92	72.42	0.38924438
20240401	31.92	72.67	0.38601524
20240501	32.42	72.17	0.18036711
20240501	32.42	72.42	0.17864668
20240501	32.42	72.67	0.1754185
20240501	32.17	72.17	0.16792881
20240501	32.17	72.42	0.16681874
20240501	32.17	72.67	0.1654402
20240501	31.92	72.17	0.15786469
20240501	31.92	72.42	0.15719569
20240501	31.92	72.67	0.15586579
20240601	32.42	72.17	0.18940371
20240601	32.42	72.42	0.18698758
20240601	32.42	72.67	0.18554372
20240601	32.17	72.17	0.17042845
20240601	32.17	72.42	0.1691429
20240601	32.17	72.67	0.17203492
20240601	31.92	72.17	0.1589567
20240601	31.92	72.42	0.16280049
20240601	31.92	72.67	0.1658904
20240701	32.42	72.17	0.32522875
20240701	32.42	72.42	0.32343012
20240701	32.42	72.67	0.32930762
20240701	32.17	72.17	0.30636412
20240701	32.17	72.42	0.30568224
20240701	32.17	72.67	0.3177629
20240701	31.92	72.17	0.301961
20240701	31.92	72.42	0.317051
20240701	31.92	72.67	0.3294664
20240801	32.42	72.17	0.5644468
20240801	32.42	72.42	0.5600046
20240801	32.42	72.67	0.560243
20240801	32.17	72.17	0.54311836
20240801	32.17	72.42	0.54058063
20240801	32.17	72.67	0.5458211
20240801	31.92	72.17	0.5376524
20240801	31.92	72.42	0.5428213
20240801	31.92	72.67	0.5478715
20240901	32.42	72.17	0.1378237
20240901	32.42	72.42	0.13064635
20240901	32.42	72.67	0.12878287
20240901	32.17	72.17	0.122229695
20240901	32.17	72.42	0.11654055
20240901	32.17	72.67	0.124102235
20240901	31.92	72.17	0.11534417
20240901	31.92	72.42	0.11859
20240901	31.92	72.67	0.12635338
20241001	32.42	72.17	0.07439129
20241001	32.42	72.42	0.0714349
20241001	32.42	72.67	0.071167395
20241001	32.17	72.17	0.059925962
20241001	32.17	72.42	0.05720179
20241001	32.17	72.67	0.0572428
20241001	31.92	72.17	0.054792333
20241001	31.92	72.42	0.052399088
20241001	31.92	72.67	0.052535463
