date	       lat	long	tcc
20140101	32.08	76.4	0.45944518
20140201	32.08	76.4	0.49100184
20140301	32.08	76.4	0.5453841
20140401	32.08	76.4	0.4352466
20140501	32.08	76.4	0.3974324
20140601	32.08	76.4	0.2644025
20140701	32.08	76.4	0.6204548
20140801	32.08	76.4	0.44431156
20140901	32.08	76.4	0.36460012
20141001	32.08	76.4	0.22134936
20141101	32.08	76.4	0.18594038
20141201	32.08	76.4	0.37532824
20150101	32.08	76.4	0.38796216
20150201	32.08	76.4	0.58362156
20150301	32.08	76.4	0.5991513
20150401	32.08	76.4	0.44859415
20150501	32.08	76.4	0.3767218
20150601	32.08	76.4	0.35101795
20150701	32.08	76.4	0.8066181
20150801	32.08	76.4	0.63984174
20150901	32.08	76.4	0.22404999
20151001	32.08	76.4	0.2363565
20151101	32.08	76.4	0.31446993
20151201	32.08	76.4	0.30550689
20160101	32.08	76.4	0.4085055
20160201	32.08	76.4	0.22012848
20160301	32.08	76.4	0.59312904
20160401	32.08	76.4	0.5127541
20160501	32.08	76.4	0.31694275
20160601	32.08	76.4	0.35771364
20160701	32.08	76.4	0.64260083
20160801	32.08	76.4	0.72509277
20160901	32.08	76.4	0.2749241
20161001	32.08	76.4	0.10144776
20161101	32.08	76.4	0.26701486
20161201	32.08	76.4	0.24995446
20170101	32.08	76.4	0.54820246
20170201	32.08	76.4	0.46785057
20170301	32.08	76.4	0.46928948
20170401	32.08	76.4	0.3121376
20170501	32.08	76.4	0.43761355
20170601	32.08	76.4	0.38952738
20170701	32.08	76.4	0.72521853
20170801	32.08	76.4	0.62880844
20170901	32.08	76.4	0.29074758
20171001	32.08	76.4	0.08818823
20171101	32.08	76.4	0.24668479
20171201	32.08	76.4	0.35327238
20180101	32.08	76.4	0.20499122
20180201	32.08	76.4	0.44351494
20180301	32.08	76.4	0.33170748
20180401	32.08	76.4	0.3686701
20180501	32.08	76.4	0.32203203
20180601	32.08	76.4	0.39089388
20180701	32.08	76.4	0.64676994
20180801	32.08	76.4	0.76331246
20180901	32.08	76.4	0.49588835
20181001	32.08	76.4	0.19786108
20181101	32.08	76.4	0.34309334
20181201	32.08	76.4	0.24418074
20190101	32.08	76.4	0.56313163
20190201	32.08	76.4	0.63999224
20190301	32.08	76.4	0.47837633
20190401	32.08	76.4	0.47527117
20190501	32.08	76.4	0.3844642
20190601	32.08	76.4	0.26331657
20190701	32.08	76.4	0.679275
20190801	32.08	76.4	0.7248538
20190901	32.08	76.4	0.4575767
20191001	32.08	76.4	0.2588349
20191101	32.08	76.4	0.5145278
20191201	32.08	76.4	0.32138008
20200101	32.08	76.4	0.56707656
20200201	32.08	76.4	0.330697
20200301	32.08	76.4	0.57584035
20200401	32.08	76.4	0.5113624
20200501	32.08	76.4	0.44487977
20200601	32.08	76.4	0.31800902
20200701	32.08	76.4	0.5210277
20200801	32.08	76.4	0.71990776
20200901	32.08	76.4	0.25910133
20201001	32.08	76.4	0.04741798
20201101	32.08	76.4	0.31636786
20201201	32.08	76.4	0.26123857
20210101	32.08	76.4	0.28720355
20210201	32.08	76.4	0.2719791
20210301	32.08	76.4	0.3511489
20210401	32.08	76.4	0.46431386
20210501	32.08	76.4	0.43783492
20210601	32.08	76.4	0.3410663
20210701	32.08	76.4	0.6629631
20210801	32.08	76.4	0.49272603
20210901	32.08	76.4	0.5431743
20211001	32.08	76.4	0.17741567
20211101	32.08	76.4	0.05526949
20211201	32.08	76.4	0.31983745
20220101	32.08	76.4	0.5601619
20220201	32.08	76.4	0.35550338
20220301	32.08	76.4	0.19748724
20220401	32.08	76.4	0.25136906
20220501	32.08	76.4	0.2658375
20220601	32.08	76.4	0.30391496
20220701	32.08	76.4	0.86394
20220801	32.08	76.4	0.6778137
20220901	32.08	76.4	0.4185807
20221001	32.08	76.4	0.16562665
20221101	32.08	76.4	0.24830425
20221201	32.08	76.4	0.21222484
20230101	32.08	76.4	0.45544708
20230201	32.08	76.4	0.3996793
20230301	32.08	76.4	0.5318383
20230401	32.08	76.4	0.461075
20230501	32.08	76.4	0.48847407
20230601	32.08	76.4	0.48246264
20230701	32.08	76.4	0.71306306
20230801	32.08	76.4	0.5902395
20230901	32.08	76.4	0.36033022
20231001	32.08	76.4	0.21053445
20231101	32.08	76.4	0.29240358
20231201	32.08	76.4	0.2147907
20240101	32.08	76.4	0.2852785
20240201	32.08	76.4	0.37669325
20240301	32.08	76.4	0.5084941
20240401	32.08	76.4	0.43150914
20240501	32.08	76.4	0.21728009
20240601	32.08	76.4	0.30225277
20240701	32.08	76.4	0.6128551
20240801	32.08	76.4	0.7696413
