valid_time	latitude	longitude	tcc
1682971200	32.42	72.17	0.9837678
1682971200	32.42	72.42	0.98453647
1682971200	32.42	72.67	0.9797948
1682971200	32.17	72.17	0.9603999
1682971200	32.17	72.42	0.9611638
1682971200	32.17	72.67	0.9588197
1682971200	31.92	72.17	0.93828326
1682971200	31.92	72.42	0.93356735
1682971200	31.92	72.67	0.93112403
1682974800	32.42	72.17	0.99998736
1682974800	32.42	72.42	0.9942539
1682974800	32.42	72.67	0.9942386
1682974800	32.17	72.17	0.98223567
1682974800	32.17	72.42	0.9753673
1682974800	32.17	72.67	0.95712733
1682974800	31.92	72.17	0.9539745
1682974800	31.92	72.42	0.93829036
1682974800	31.92	72.67	0.91968226
1683057600	32.42	72.17	0.7454864
1683057600	32.42	72.42	0.77740395
1683057600	32.42	72.67	0.836177
1683057600	32.17	72.17	0.81926644
1683057600	32.17	72.42	0.83466065
1683057600	32.17	72.67	0.8647624
1683057600	31.92	72.17	0.85542023
1683057600	31.92	72.42	0.80826676
1683057600	31.92	72.67	0.83821785
1683061200	32.42	72.17	0.73598087
1683061200	32.42	72.42	0.763214
1683061200	32.42	72.67	0.8066596
1683061200	32.17	72.17	0.8397864
1683061200	32.17	72.42	0.8681525
1683061200	32.17	72.67	0.86635196
1683061200	31.92	72.17	0.8985404
1683061200	31.92	72.42	0.8864325
1683061200	31.92	72.67	0.884796
1683144000	32.42	72.17	0.08665657
1683144000	32.42	72.42	0.042406082
1683144000	32.42	72.67	0.0019702911
1683144000	32.17	72.17	0.035490036
1683144000	32.17	72.42	0.0
1683144000	32.17	72.67	0.0
1683144000	31.92	72.17	0.0
1683144000	31.92	72.42	0.0
1683144000	31.92	72.67	0.0
1683147600	32.42	72.17	0.14262673
1683147600	32.42	72.42	0.08193872
1683147600	32.42	72.67	0.03645227
1683147600	32.17	72.17	0.078845
1683147600	32.17	72.42	0.025782563
1683147600	32.17	72.67	0.01315973
1683147600	31.92	72.17	0.01843927
1683147600	31.92	72.42	0.018916108
1683147600	31.92	72.67	0.006525971
1683230400	32.42	72.17	0.82517755
1683230400	32.42	72.42	0.6641668
1683230400	32.42	72.67	0.5072607
1683230400	32.17	72.17	0.8176855
1683230400	32.17	72.42	0.6542562
1683230400	32.17	72.67	0.5559133
1683230400	31.92	72.17	0.5712255
1683230400	31.92	72.42	0.59274805
1683230400	31.92	72.67	0.49871576
1683234000	32.42	72.17	0.76934665
1683234000	32.42	72.42	0.8151421
1683234000	32.42	72.67	0.8208527
1683234000	32.17	72.17	0.69752353
1683234000	32.17	72.42	0.74902576
1683234000	32.17	72.67	0.8508515
1683234000	31.92	72.17	0.61024326
1683234000	31.92	72.42	0.7512345
1683234000	31.92	72.67	0.8525147
1683316800	32.42	72.17	0.8885918
1683316800	32.42	72.42	0.90017897
1683316800	32.42	72.67	0.9105397
1683316800	32.17	72.17	0.8419648
1683316800	32.17	72.42	0.86235815
1683316800	32.17	72.67	0.8967934
1683316800	31.92	72.17	0.88939863
1683316800	31.92	72.42	0.8658543
1683316800	31.92	72.67	0.89880186
1683320400	32.42	72.17	0.9653267
1683320400	32.42	72.42	0.9792809
1683320400	32.42	72.67	0.9847645
1683320400	32.17	72.17	0.9775433
1683320400	32.17	72.42	0.9904408
1683320400	32.17	72.67	0.9918379
1683320400	31.92	72.17	0.9456906
1683320400	31.92	72.42	0.97104686
1683320400	31.92	72.67	0.973268
1683403200	32.42	72.17	0.28968173
1683403200	32.42	72.42	0.32792026
1683403200	32.42	72.67	0.3677228
1683403200	32.17	72.17	0.11950809
1683403200	32.17	72.42	0.15898257
1683403200	32.17	72.67	0.21531802
1683403200	31.92	72.17	0.09758884
1683403200	31.92	72.42	0.16985446
1683403200	31.92	72.67	0.22992831
1683406800	32.42	72.17	0.17613234
1683406800	32.42	72.42	0.27549756
1683406800	32.42	72.67	0.34735882
1683406800	32.17	72.17	0.07010664
1683406800	32.17	72.42	0.164261
1683406800	32.17	72.67	0.24931349
1683406800	31.92	72.17	0.055679455
1683406800	31.92	72.42	0.17772688
1683406800	31.92	72.67	0.2694856
1683489600	32.42	72.17	0.45898795
1683489600	32.42	72.42	0.43978477
1683489600	32.42	72.67	0.61007285
1683489600	32.17	72.17	0.3354833
1683489600	32.17	72.42	0.2995336
1683489600	32.17	72.67	0.37218833
1683489600	31.92	72.17	0.26600242
1683489600	31.92	72.42	0.25975394
1683489600	31.92	72.67	0.3302114
1683493200	32.42	72.17	0.5406698
1683493200	32.42	72.42	0.49578607
1683493200	32.42	72.67	0.5552763
1683493200	32.17	72.17	0.64917123
1683493200	32.17	72.42	0.5964292
1683493200	32.17	72.67	0.5357069
1683493200	31.92	72.17	0.56017435
1683493200	31.92	72.42	0.512483
1683493200	31.92	72.67	0.45320642
1683576000	32.42	72.17	0.0
1683576000	32.42	72.42	0.0
1683576000	32.42	72.67	0.0
1683576000	32.17	72.17	0.0
1683576000	32.17	72.42	0.0
1683576000	32.17	72.67	0.0
1683576000	31.92	72.17	0.0
1683576000	31.92	72.42	0.0
1683576000	31.92	72.67	0.0
1683579600	32.42	72.17	0.018082362
1683579600	32.42	72.42	0.011624556
1683579600	32.42	72.67	0.0047590546
1683579600	32.17	72.17	0.02076314
1683579600	32.17	72.42	0.016503554
1683579600	32.17	72.67	0.016503554
1683579600	31.92	72.17	0.016647082
1683579600	31.92	72.42	0.016637068
1683579600	31.92	72.67	0.016637068
1683662400	32.42	72.17	0.0
1683662400	32.42	72.42	0.0
1683662400	32.42	72.67	0.0
1683662400	32.17	72.17	0.0
1683662400	32.17	72.42	0.0
