valid_time	latitude	longitude	tcc
1672581600	32.1	76.4	0.7467656
1672668000	32.1	76.4	0.14531893
1672754400	32.1	76.4	0.108154595
1672840800	32.1	76.4	0.0
1672927200	32.1	76.4	0.0
1673013600	32.1	76.4	0.9970735
1673100000	32.1	76.4	0.84282386
1673186400	32.1	76.4	0.96593916
1673272800	32.1	76.4	0.7505726
1673359200	32.1	76.4	0.13793916
1673445600	32.1	76.4	0.9538044
1673532000	32.1	76.4	0.049242653
1673618400	32.1	76.4	0.65036017
1673704800	32.1	76.4	0.14880228
1673791200	32.1	76.4	0.11688274
1673877600	32.1	76.4	0.14415133
1673964000	32.1	76.4	0.029241644
1674050400	32.1	76.4	0.99999994
1674136800	32.1	76.4	0.9969256
1674223200	32.1	76.4	0.7092018
1674309600	32.1	76.4	0.031263847
1674396000	32.1	76.4	0.2407769
1674482400	32.1	76.4	0.70332634
1674568800	32.1	76.4	0.91083914
1674655200	32.1	76.4	0.93418664
1674741600	32.1	76.4	0.20263392
1674828000	32.1	76.4	0.0
1674914400	32.1	76.4	0.9725003
1675000800	32.1	76.4	0.99999994
1675087200	32.1	76.4	0.63753784
1675173600	32.1	76.4	0.0
1675260000	32.1	76.4	0.5926861
1675346400	32.1	76.4	0.8575825
1675432800	32.1	76.4	0.7158737
1675519200	32.1	76.4	0.0055623874
1675605600	32.1	76.4	0.029849432
1675692000	32.1	76.4	0.15399486
1675778400	32.1	76.4	0.0
1675864800	32.1	76.4	0.51246303
1675951200	32.1	76.4	0.6935559
1676037600	32.1	76.4	0.7724695
1676124000	32.1	76.4	0.2933814
1676210400	32.1	76.4	0.06881088
1676296800	32.1	76.4	0.110021174
1676383200	32.1	76.4	0.152457
1676469600	32.1	76.4	0.010923546
1676556000	32.1	76.4	0.9089669
1676642400	32.1	76.4	0.9141754
1676728800	32.1	76.4	0.74024737
1676815200	32.1	76.4	0.9750992
1676901600	32.1	76.4	0.33190948
1676988000	32.1	76.4	0.060045585
1677074400	32.1	76.4	0.012834918
1677160800	32.1	76.4	0.0
1677247200	32.1	76.4	0.0
1677333600	32.1	76.4	0.20187217
1677420000	32.1	76.4	0.50004184
1677506400	32.1	76.4	0.8790997
1677592800	32.1	76.4	0.9883254
1677679200	32.1	76.4	0.98900074
1677765600	32.1	76.4	0.94991
1677852000	32.1	76.4	0.4581861
1677938400	32.1	76.4	0.18334168
1678024800	32.1	76.4	0.49606717
1678111200	32.1	76.4	0.0053440854
1678197600	32.1	76.4	0.32653904
1678284000	32.1	76.4	0.22278619
1678370400	32.1	76.4	0.12357581
1678456800	32.1	76.4	0.08462703
1678543200	32.1	76.4	0.2113772
1678629600	32.1	76.4	0.7091815
1678716000	32.1	76.4	0.9583702
1678802400	32.1	76.4	0.0014144673
1678888800	32.1	76.4	0.9916468
1678975200	32.1	76.4	0.4682637
1679061600	32.1	76.4	0.96856594
1679148000	32.1	76.4	0.70587575
1679234400	32.1	76.4	0.959378
1679320800	32.1	76.4	0.9923169
1679407200	32.1	76.4	0.7429659
1679493600	32.1	76.4	0.45847332
1679580000	32.1	76.4	0.43214327
1679666400	32.1	76.4	0.99472666
1679752800	32.1	76.4	0.40256125
1679839200	32.1	76.4	0.14837915
1679925600	32.1	76.4	0.35267496
1680012000	32.1	76.4	0.2833125
1680098400	32.1	76.4	0.9601084
1680184800	32.1	76.4	0.9381428
1680271200	32.1	76.4	0.91862124
1680357600	32.1	76.4	0.6831058
1680444000	32.1	76.4	0.32076234
1680530400	32.1	76.4	0.61947757
1680616800	32.1	76.4	0.38601404
1680703200	32.1	76.4	0.86972463
1680789600	32.1	76.4	0.0
1680876000	32.1	76.4	0.005875211
1680962400	32.1	76.4	0.0
1681048800	32.1	76.4	0.012154803
1681135200	32.1	76.4	0.038019627
1681221600	32.1	76.4	0.991379
1681308000	32.1	76.4	0.46043402
1681394400	32.1	76.4	0.203713
1681480800	32.1	76.4	0.273291
1681567200	32.1	76.4	0.09979528
1681653600	32.1	76.4	0.90714365
1681740000	32.1	76.4	0.14833969
1681826400	32.1	76.4	0.93716127
1681912800	32.1	76.4	0.9775743
1681999200	32.1	76.4	0.6587254
1682085600	32.1	76.4	0.23970062
1682172000	32.1	76.4	0.7614424
1682258400	32.1	76.4	0.7928953
1682344800	32.1	76.4	0.79845667
1682431200	32.1	76.4	0.7782697
1682517600	32.1	76.4	0.90180576
1682604000	32.1	76.4	0.86396575
1682690400	32.1	76.4	0.6807509
