valid_time	latitude	longitude	tcc
1704139200	32.42	72.17	0.0
1704139200	32.42	72.42	0.0
1704139200	32.42	72.67	0.0
1704139200	32.17	72.17	0.0
1704139200	32.17	72.42	0.0
1704139200	32.17	72.67	0.0
1704139200	31.92	72.17	0.0
1704139200	31.92	72.42	0.0
1704139200	31.92	72.67	0.0
1704142800	32.42	72.17	0.0
1704142800	32.42	72.42	0.0
1704142800	32.42	72.67	0.02294445
1704142800	32.17	72.17	0.0
1704142800	32.17	72.42	0.0
1704142800	32.17	72.67	0.0
1704142800	31.92	72.17	0.0
1704142800	31.92	72.42	0.0
1704142800	31.92	72.67	0.0
1704225600	32.42	72.17	0.40088332
1704225600	32.42	72.42	0.41769087
1704225600	32.42	72.67	0.48211348
1704225600	32.17	72.17	0.17780745
1704225600	32.17	72.42	0.1990782
1704225600	32.17	72.67	0.25772536
1704225600	31.92	72.17	0.077831864
1704225600	31.92	72.42	0.10999739
1704225600	31.92	72.67	0.1693312
1704229200	32.42	72.17	0.33727795
1704229200	32.42	72.42	0.36658245
1704229200	32.42	72.67	0.43162304
1704229200	32.17	72.17	0.09207684
1704229200	32.17	72.42	0.13473278
1704229200	32.17	72.67	0.20326763
1704229200	31.92	72.17	0.024915274
1704229200	31.92	72.42	0.056821402
1704229200	31.92	72.67	0.12704235
1704312000	32.42	72.17	0.98333025
1704312000	32.42	72.42	0.966804
1704312000	32.42	72.67	0.94558764
1704312000	32.17	72.17	0.97678137
1704312000	32.17	72.42	0.96133757
1704312000	32.17	72.67	0.9496589
1704312000	31.92	72.17	0.96799517
1704312000	31.92	72.42	0.9687524
1704312000	31.92	72.67	0.9580846
1704315600	32.42	72.17	0.9756047
1704315600	32.42	72.42	0.97239476
1704315600	32.42	72.67	0.97197205
1704315600	32.17	72.17	0.97322315
1704315600	32.17	72.42	0.97000116
1704315600	32.17	72.67	0.9700013
1704315600	31.92	72.17	0.971682
1704315600	31.92	72.42	0.97139865
1704315600	31.92	72.67	0.9713951
1704398400	32.42	72.17	0.7515667
1704398400	32.42	72.42	0.68229944
1704398400	32.42	72.67	0.6614254
1704398400	32.17	72.17	0.54653436
1704398400	32.17	72.42	0.47930413
1704398400	32.17	72.67	0.46672326
1704398400	31.92	72.17	0.34451562
1704398400	31.92	72.42	0.27647668
1704398400	31.92	72.67	0.26462823
1704402000	32.42	72.17	0.82922935
1704402000	32.42	72.42	0.81313133
1704402000	32.42	72.67	0.7827053
1704402000	32.17	72.17	0.71870995
1704402000	32.17	72.42	0.6992855
1704402000	32.17	72.67	0.61945915
1704402000	31.92	72.17	0.5356808
1704402000	31.92	72.42	0.5221386
1704402000	31.92	72.67	0.44315147
1704484800	32.42	72.17	0.0
1704484800	32.42	72.42	0.0
1704484800	32.42	72.67	0.0
1704484800	32.17	72.17	0.0
1704484800	32.17	72.42	0.0
1704484800	32.17	72.67	0.0
1704484800	31.92	72.17	0.0
1704484800	31.92	72.42	0.0
1704484800	31.92	72.67	0.0
1704488400	32.42	72.17	0.0
1704488400	32.42	72.42	0.0
1704488400	32.42	72.67	0.0
1704488400	32.17	72.17	0.0
1704488400	32.17	72.42	0.0
1704488400	32.17	72.67	0.0
1704488400	31.92	72.17	0.0
1704488400	31.92	72.42	0.0
1704488400	31.92	72.67	0.0
1704571200	32.42	72.17	0.0
1704571200	32.42	72.42	0.0
1704571200	32.42	72.67	0.0
1704571200	32.17	72.17	0.0
1704571200	32.17	72.42	0.0
1704571200	32.17	72.67	0.0
1704571200	31.92	72.17	0.0
1704571200	31.92	72.42	0.0
1704571200	31.92	72.67	0.0
1704574800	32.42	72.17	0.0
1704574800	32.42	72.42	0.0
1704574800	32.42	72.67	0.0
1704574800	32.17	72.17	0.0
1704574800	32.17	72.42	0.0
1704574800	32.17	72.67	0.0
1704574800	31.92	72.17	0.0
1704574800	31.92	72.42	0.0
1704574800	31.92	72.67	0.0
1704657600	32.42	72.17	0.29255235
1704657600	32.42	72.42	0.31464708
1704657600	32.42	72.67	0.33282793
1704657600	32.17	72.17	0.18725145
1704657600	32.17	72.42	0.23818529
1704657600	32.17	72.67	0.3826555
1704657600	31.92	72.17	0.14730394
1704657600	31.92	72.42	0.27926958
1704657600	31.92	72.67	0.4248308
1704661200	32.42	72.17	0.17041242
1704661200	32.42	72.42	0.2763847
1704661200	32.42	72.67	0.37474287
1704661200	32.17	72.17	0.16607893
1704661200	32.17	72.42	0.2745384
1704661200	32.17	72.67	0.43664777
1704661200	31.92	72.17	0.29229963
1704661200	31.92	72.42	0.5510124
1704661200	31.92	72.67	0.7084068
1704744000	32.42	72.17	0.61847353
1704744000	32.42	72.42	0.68748903
1704744000	32.42	72.67	0.669621
1704744000	32.17	72.17	0.5202222
1704744000	32.17	72.42	0.6390805
1704744000	32.17	72.67	0.72375154
1704744000	31.92	72.17	0.562222
1704744000	31.92	72.42	0.60059404
1704744000	31.92	72.67	0.68119097
1704747600	32.42	72.17	0.4746629
1704747600	32.42	72.42	0.6414567
1704747600	32.42	72.67	0.56944287
1704747600	32.17	72.17	0.37684643
1704747600	32.17	72.42	0.61265576
1704747600	32.17	72.67	0.6942674
1704747600	31.92	72.17	0.45734417
1704747600	31.92	72.42	0.61021435
1704747600	31.92	72.67	0.6906434
1704830400	32.42	72.17	0.030840874
1704830400	32.42	72.42	0.03725052
1704830400	32.42	72.67	0.038262367
1704830400	32.17	72.17	0.0022687912
1704830400	32.17	72.42	0.008692741
1704830400	32.17	72.67	0.008692741
1704830400	31.92	72.17	0.0
1704830400	31.92	72.42	0.0
1704830400	31.92	72.67	0.0
1704834000	32.42	72.17	0.0
1704834000	32.42	72.42	0.0028395653
1704834000	32.42	72.67	0.021571636
1704834000	32.17	72.17	0.0
1704834000	32.17	72.42	0.0017428398
1704834000	32.17	72.67	0.0064196587
1704834000	31.92	72.17	0.0
1704834000	31.92	72.42	0.0
1704834000	31.92	72.67	0.004688263
1704916800	32.42	72.17	0.0
1704916800	32.42	72.42	0.0
1704916800	32.42	72.67	0.0
1704916800	32.17	72.17	0.0
1704916800	32.17	72.42	0.0
1704916800	32.17	72.67	0.0
1704916800	31.92	72.17	0.0
1704916800	31.92	72.42	0.0
1704916800	31.92	72.67	0.0
1704920400	32.42	72.17	0.0
1704920400	32.42	72.42	0.0
1704920400	32.42	72.67	0.0
1704920400	32.17	72.17	0.0
1704920400	32.17	72.42	0.0
1704920400	32.17	72.67	0.0
1704920400	31.92	72.17	0.0
1704920400	31.92	72.42	0.0
1704920400	31.92	72.67	0.0
1705003200	32.42	72.17	0.18771388
1705003200	32.42	72.42	0.10546138
1705003200	32.42	72.67	0.0051729893
1705003200	32.17	72.17	0.12870051
1705003200	32.17	72.42	0.047310136
1705003200	32.17	72.67	0.0066836094
1705003200	31.92	72.17	0.25420406
