valid_time	latitude	longitude	tcc
1729123200	32.42	72.17	0.0
1729123200	32.42	72.42	0.0
1729123200	32.42	72.67	0.0
1729123200	32.17	72.17	0.0
1729123200	32.17	72.42	0.0
1729123200	32.17	72.67	0.0
1729123200	31.92	72.17	0.0
1729123200	31.92	72.42	0.0
1729123200	31.92	72.67	0.0
1729126800	32.42	72.17	0.0
1729126800	32.42	72.42	0.0
1729126800	32.42	72.67	0.0
1729126800	32.17	72.17	0.0
1729126800	32.17	72.42	0.0
1729126800	32.17	72.67	0.0
1729126800	31.92	72.17	0.0
1729126800	31.92	72.42	0.0
1729126800	31.92	72.67	0.0
1729130400	32.42	72.17	0.0
1729130400	32.42	72.42	0.0
1729130400	32.42	72.67	0.0
1729130400	32.17	72.17	0.0
1729130400	32.17	72.42	0.0
1729130400	32.17	72.67	0.0
1729130400	31.92	72.17	0.0
1729130400	31.92	72.42	0.0
1729130400	31.92	72.67	0.0
1729134000	32.42	72.17	0.0
1729134000	32.42	72.42	0.0
1729134000	32.42	72.67	0.0
1729134000	32.17	72.17	0.0
1729134000	32.17	72.42	0.0
1729134000	32.17	72.67	0.0
1729134000	31.92	72.17	0.0
1729134000	31.92	72.42	0.0
1729134000	31.92	72.67	0.0
1729137600	32.42	72.17	0.0
1729137600	32.42	72.42	0.0
1729137600	32.42	72.67	0.0
1729137600	32.17	72.17	0.0
1729137600	32.17	72.42	0.0
1729137600	32.17	72.67	0.0
1729137600	31.92	72.17	0.0
1729137600	31.92	72.42	0.0
1729137600	31.92	72.67	0.0
1729141200	32.42	72.17	0.0
1729141200	32.42	72.42	0.0
1729141200	32.42	72.67	0.0
1729141200	32.17	72.17	0.0
1729141200	32.17	72.42	0.0
1729141200	32.17	72.67	0.0
1729141200	31.92	72.17	0.0
1729141200	31.92	72.42	0.0
1729141200	31.92	72.67	0.0
1729144800	32.42	72.17	0.0
1729144800	32.42	72.42	0.0
1729144800	32.42	72.67	0.0
1729144800	32.17	72.17	0.0
1729144800	32.17	72.42	0.0
1729144800	32.17	72.67	0.0
1729144800	31.92	72.17	0.0
1729144800	31.92	72.42	0.0
1729144800	31.92	72.67	0.0
1729148400	32.42	72.17	0.0
1729148400	32.42	72.42	0.0
1729148400	32.42	72.67	0.0
1729148400	32.17	72.17	0.0
1729148400	32.17	72.42	0.0
1729148400	32.17	72.67	0.0
1729148400	31.92	72.17	0.0
1729148400	31.92	72.42	0.0
1729148400	31.92	72.67	0.0
1729152000	32.42	72.17	0.0
1729152000	32.42	72.42	0.0
1729152000	32.42	72.67	0.0
1729152000	32.17	72.17	0.0
1729152000	32.17	72.42	0.0
1729152000	32.17	72.67	0.0
1729152000	31.92	72.17	0.0
1729152000	31.92	72.42	0.0
1729152000	31.92	72.67	0.0
1729155600	32.42	72.17	0.0
1729155600	32.42	72.42	0.0
1729155600	32.42	72.67	0.0
1729155600	32.17	72.17	0.0
1729155600	32.17	72.42	0.0
1729155600	32.17	72.67	0.0
1729155600	31.92	72.17	0.0
1729155600	31.92	72.42	0.0
1729155600	31.92	72.67	0.0
1729159200	32.42	72.17	0.0046076775
1729159200	32.42	72.42	0.0013977289
1729159200	32.42	72.67	0.0
1729159200	32.17	72.17	0.0032218695
1729159200	32.17	72.42	0.0
1729159200	32.17	72.67	0.0
1729159200	31.92	72.17	0.0
1729159200	31.92	72.42	0.0
1729159200	31.92	72.67	0.0
1729162800	32.42	72.17	0.112387344
1729162800	32.42	72.42	0.056593582
1729162800	32.42	72.67	0.022295639
1729162800	32.17	72.17	0.10206477
1729162800	32.17	72.42	0.04615657
1729162800	32.17	72.67	0.022310898
1729162800	31.92	72.17	0.05014293
1729162800	31.92	72.42	0.03675525
1729162800	31.92	72.67	0.013626739
1729166400	32.42	72.17	0.06840108
1729166400	32.42	72.42	0.05067037
1729166400	32.42	72.67	0.03769277
1729166400	32.17	72.17	0.051872
1729166400	32.17	72.42	0.030803425
1729166400	32.17	72.67	0.018033726
1729166400	31.92	72.17	0.020139439
1729166400	31.92	72.42	0.015243275
1729166400	31.92	72.67	0.0037381481
1729170000	32.42	72.17	0.0019708276
1729170000	32.42	72.42	0.0019708276
1729170000	32.42	72.67	0.0019708276
1729170000	32.17	72.17	0.0
1729170000	32.17	72.42	0.0
1729170000	32.17	72.67	0.0
1729170000	31.92	72.17	0.0
1729170000	31.92	72.42	0.0
1729170000	31.92	72.67	0.0
1729173600	32.42	72.17	0.0
