valid_time	latitude	longitude	tcc
1388534400	32.09	76.41	0.82332045
1388538000	32.09	76.41	0.81779814
1388541600	32.09	76.41	0.7549333
1388545200	32.09	76.41	0.7202734
1388548800	32.09	76.41	0.58895993
1388552400	32.09	76.41	0.4393729
1388556000	32.09	76.41	0.58056563
1388559600	32.09	76.41	0.48914647
1388563200	32.09	76.41	0.5084176
1388566800	32.09	76.41	0.42270315
1388570400	32.09	76.41	0.4235264
1388574000	32.09	76.41	0.39766228
1388577600	32.09	76.41	0.34159434
1388581200	32.09	76.41	0.21830231
1388584800	32.09	76.41	0.12869948
1388588400	32.09	76.41	0.0710451
1388592000	32.09	76.41	0.058199015
1388595600	32.09	76.41	0.03314044
1388599200	32.09	76.41	0.026703928
1388602800	32.09	76.41	0.0166929
1388606400	32.09	76.41	0.01254116
1388610000	32.09	76.41	0.006983444
1388613600	32.09	76.41	0.03238844
1388617200	32.09	76.41	0.15798044
1388620800	32.09	76.41	0.15188074
1388624400	32.09	76.41	0.14032924
1388628000	32.09	76.41	0.0013326553
1388631600	32.09	76.41	0.00741753
1388635200	32.09	76.41	0.006495256
1388638800	32.09	76.41	0.0
1388642400	32.09	76.41	0.0
1388646000	32.09	76.41	0.0
1388649600	32.09	76.41	0.0
1388653200	32.09	76.41	0.0
1388656800	32.09	76.41	0.0
1388660400	32.09	76.41	0.0
1388664000	32.09	76.41	0.0
1388667600	32.09	76.41	0.0
1388671200	32.09	76.41	0.0
1388674800	32.09	76.41	0.0
1388678400	32.09	76.41	0.0
1388682000	32.09	76.41	0.0
1388685600	32.09	76.41	0.0
1388689200	32.09	76.41	0.0
1388692800	32.09	76.41	0.0
1388696400	32.09	76.41	0.0
1388700000	32.09	76.41	0.0
1388703600	32.09	76.41	0.0
1388707200	32.09	76.41	0.0
1388710800	32.09	76.41	0.0
1388714400	32.09	76.41	0.0
1388718000	32.09	76.41	0.0
1388721600	32.09	76.41	0.0
1388725200	32.09	76.41	0.0
1388728800	32.09	76.41	0.0
1388732400	32.09	76.41	0.0
1388736000	32.09	76.41	0.0
1388739600	32.09	76.41	0.0
1388743200	32.09	76.41	0.0
1388746800	32.09	76.41	0.0
1388750400	32.09	76.41	0.0
1388754000	32.09	76.41	0.0
1388757600	32.09	76.41	0.0
1388761200	32.09	76.41	0.0
1388764800	32.09	76.41	0.0
1388768400	32.09	76.41	0.0
1388772000	32.09	76.41	0.0
1388775600	32.09	76.41	0.0
1388779200	32.09	76.41	0.0
1388782800	32.09	76.41	0.0
1388786400	32.09	76.41	0.0
1388790000	32.09	76.41	3.9940374E-4
1388793600	32.09	76.41	0.0
1388797200	32.09	76.41	0.0035680407
1388800800	32.09	76.41	0.010691211
1388804400	32.09	76.41	0.08854854
1388808000	32.09	76.41	0.12446624
1388811600	32.09	76.41	0.16032398
1388815200	32.09	76.41	0.09929979
1388818800	32.09	76.41	0.1438694
1388822400	32.09	76.41	0.28833127
1388826000	32.09	76.41	0.6093251
1388829600	32.09	76.41	0.7450581
1388833200	32.09	76.41	0.6426623
1388836800	32.09	76.41	0.64070755
1388840400	32.09	76.41	0.57896984
1388844000	32.09	76.41	0.5401104
1388847600	32.09	76.41	0.49669445
1388851200	32.09	76.41	0.49278188
1388854800	32.09	76.41	0.47521633
1388858400	32.09	76.41	0.42579287
1388862000	32.09	76.41	0.43379962
1388865600	32.09	76.41	0.4196741
1388869200	32.09	76.41	0.4066428
1388872800	32.09	76.41	0.40374875
1388876400	32.09	76.41	0.44361407
1388880000	32.09	76.41	0.43975705
1388883600	32.09	76.41	0.49073362
1388887200	32.09	76.41	0.49443245
1388890800	32.09	76.41	0.32962865
1388894400	32.09	76.41	0.24186063
1388898000	32.09	76.41	0.22142738
1388901600	32.09	76.41	0.18415463
1388905200	32.09	76.41	0.27174854
1388908800	32.09	76.41	0.471736
1388912400	32.09	76.41	0.4182443
1388916000	32.09	76.41	0.36089045
1388919600	32.09	76.41	0.28803098
1388923200	32.09	76.41	0.30876827
1388926800	32.09	76.41	0.2950613
1388930400	32.09	76.41	0.2565769
1388934000	32.09	76.41	0.35918802
1388937600	32.09	76.41	0.16707158
1388941200	32.09	76.41	0.15793824
1388944800	32.09	76.41	0.1461361
1388948400	32.09	76.41	0.18017697
1388952000	32.09	76.41	0.22032863
1388955600	32.09	76.41	0.1725766
1388959200	32.09	76.41	0.1488378
1388962800	32.09	76.41	0.11195195
1388966400	32.09	76.41	0.19502443
1388970000	32.09	76.41	0.29864144
1388973600	32.09	76.41	0.13093573
1388977200	32.09	76.41	0.060833298
1388980800	32.09	76.41	0.015742581
1388984400	32.09	76.41	0.012146845
1388988000	32.09	76.41	0.09699303
1388991600	32.09	76.41	0.2235347
1388995200	32.09	76.41	0.47105122
1388998800	32.09	76.41	0.2764567
1389002400	32.09	76.41	0.24520677
1389006000	32.09	76.41	0.20010865
1389009600	32.09	76.41	0.17421359
1389013200	32.09	76.41	0.039673407
1389016800	32.09	76.41	0.007124435
1389020400	32.09	76.41	0.0046217367
1389024000	32.09	76.41	0.0
1389027600	32.09	76.41	0.0052915365
1389031200	32.09	76.41	0.0051411577
1389034800	32.09	76.41	0.22717047
1389038400	32.09	76.41	0.88995105
1389042000	32.09	76.41	0.95604706
1389045600	32.09	76.41	0.98983115
1389049200	32.09	76.41	1.0
1389052800	32.09	76.41	0.99919873
1389056400	32.09	76.41	1.0
1389060000	32.09	76.41	1.0
1389063600	32.09	76.41	1.0
1389067200	32.09	76.41	1.0
1389070800	32.09	76.41	1.0
1389074400	32.09	76.41	1.0
1389078000	32.09	76.41	0.9996006
1389081600	32.09	76.41	1.0
1389085200	32.09	76.41	0.99576205
1389088800	32.09	76.41	0.98692584
1389092400	32.09	76.41	0.9620013
1389096000	32.09	76.41	0.8835468
1389099600	32.09	76.41	0.81684834
1389103200	32.09	76.41	0.8265772
1389106800	32.09	76.41	0.8895111
1389110400	32.09	76.41	0.68231505
1389114000	32.09	76.41	0.20624685
1389117600	32.09	76.41	0.22455257
1389121200	32.09	76.41	0.6171871
1389124800	32.09	76.41	0.89508367
1389128400	32.09	76.41	0.9571621
1389132000	32.09	76.41	0.9931272
1389135600	32.09	76.41	0.9873167
1389139200	32.09	76.41	1.0
1389142800	32.09	76.41	1.0
1389146400	32.09	76.41	1.0
1389150000	32.09	76.41	1.0
1389153600	32.09	76.41	1.0
1389157200	32.09	76.41	1.0
1389160800	32.09	76.41	0.9934007
1389164400	32.09	76.41	0.9839738
1389168000	32.09	76.41	0.9839738
1389171600	32.09	76.41	0.9986829
1389175200	32.09	76.41	0.9736796
1389178800	32.09	76.41	1.0
1389182400	32.09	76.41	1.0
1389186000	32.09	76.41	1.0
1389189600	32.09	76.41	0.9974646
1389193200	32.09	76.41	0.8548942
1389196800	32.09	76.41	0.9818668
1389200400	32.09	76.41	1.0
1389204000	32.09	76.41	0.9871147
1389207600	32.09	76.41	0.89335084
1389211200	32.09	76.41	0.7813841
1389214800	32.09	76.41	0.85302716
1389218400	32.09	76.41	0.7997725
1389222000	32.09	76.41	0.6793945
1389225600	32.09	76.41	0.58951
1389229200	32.09	76.41	0.6311323
1389232800	32.09	76.41	0.64798343
1389236400	32.09	76.41	0.6017371
1389240000	32.09	76.41	0.55751663
1389243600	32.09	76.41	0.5998711
1389247200	32.09	76.41	0.54192257
1389250800	32.09	76.41	0.36624688
1389254400	32.09	76.41	0.45437586
1389258000	32.09	76.41	0.24209374
1389261600	32.09	76.41	0.24237067
1389265200	32.09	76.41	0.15556234
1389268800	32.09	76.41	0.16483754
1389272400	32.09	76.41	0.21503949
1389276000	32.09	76.41	0.14201987
1389279600	32.09	76.41	0.08001351
1389283200	32.09	76.41	0.07350367
1389286800	32.09	76.41	0.097234786
1389290400	32.09	76.41	0.092350006
1389294000	32.09	76.41	0.10115665
1389297600	32.09	76.41	0.1060065
1389301200	32.09	76.41	0.10284531
1389304800	32.09	76.41	0.107684255
1389308400	32.09	76.41	0.18269455
1389312000	32.09	76.41	0.20225495
1389315600	32.09	76.41	0.1769706
1389319200	32.09	76.41	0.22135031
1389322800	32.09	76.41	0.16632235
1389326400	32.09	76.41	0.22635335
1389330000	32.09	76.41	0.20253026
1389333600	32.09	76.41	0.28880692
1389337200	32.09	76.41	0.40332824
1389340800	32.09	76.41	0.63331705
1389344400	32.09	76.41	0.5301753
1389348000	32.09	76.41	0.70048106
1389351600	32.09	76.41	0.71581227
1389355200	32.09	76.41	0.6831061
1389358800	32.09	76.41	0.6339205
1389362400	32.09	76.41	0.6859213
1389366000	32.09	76.41	0.7470954
1389369600	32.09	76.41	0.5866379
1389373200	32.09	76.41	0.5388041
1389376800	32.09	76.41	0.4372955
1389380400	32.09	76.41	0.45847923
1389384000	32.09	76.41	0.39281482
1389387600	32.09	76.41	0.2629757
1389391200	32.09	76.41	0.18801945
1389394800	32.09	76.41	0.1286512
1389398400	32.09	76.41	0.06535274
1389402000	32.09	76.41	0.029600862
1389405600	32.09	76.41	0.03240394
1389409200	32.09	76.41	0.021463815
1389412800	32.09	76.41	0.012608763
1389416400	32.09	76.41	0.010113873
1389420000	32.09	76.41	0.0048073456
1389423600	32.09	76.41	8.0122426E-4
1389427200	32.09	76.41	0.0
1389430800	32.09	76.41	0.0
1389434400	32.09	76.41	0.0
1389438000	32.09	76.41	0.0
1389441600	32.09	76.41	0.0
1389445200	32.09	76.41	0.0
1389448800	32.09	76.41	0.0
1389452400	32.09	76.41	0.0
1389456000	32.09	76.41	0.0
1389459600	32.09	76.41	0.0
1389463200	32.09	76.41	0.0
1389466800	32.09	76.41	0.0
1389470400	32.09	76.41	0.0
1389474000	32.09	76.41	0.00922272
1389477600	32.09	76.41	0.021649983
1389481200	32.09	76.41	0.29283613
1389484800	32.09	76.41	0.615062
1389488400	32.09	76.41	0.6737774
1389492000	32.09	76.41	0.78759414
1389495600	32.09	76.41	0.9006083
1389499200	32.09	76.41	0.84969455
1389502800	32.09	76.41	0.8020492
1389506400	32.09	76.41	0.88818574
1389510000	32.09	76.41	0.96316695
1389513600	32.09	76.41	0.9705619
1389517200	32.09	76.41	0.9303718
1389520800	32.09	76.41	0.8218584
1389524400	32.09	76.41	0.5727026
1389528000	32.09	76.41	0.27442724
1389531600	32.09	76.41	0.7445224
1389535200	32.09	76.41	0.8534976
1389538800	32.09	76.41	0.960406
1389542400	32.09	76.41	0.9990777
1389546000	32.09	76.41	0.9820385
1389549600	32.09	76.41	0.99456996
1389553200	32.09	76.41	1.0
1389556800	32.09	76.41	1.0
1389560400	32.09	76.41	1.0
1389564000	32.09	76.41	0.9966953
1389567600	32.09	76.41	0.9954221
1389571200	32.09	76.41	0.9953712
1389574800	32.09	76.41	1.0
1389578400	32.09	76.41	0.9912673
1389582000	32.09	76.41	0.9819707
1389585600	32.09	76.41	0.9774197
1389589200	32.09	76.41	0.8900266
